r1 void vitreous
4.55000 1.07267 1.44810
4.56000 1.07250 1.44788
4.57000 1.07234 1.44765
4.58000 1.07217 1.44743
4.59000 1.07201 1.44721
4.60000 1.07185 1.44699
4.61000 1.07168 1.44677
4.62000 1.07152 1.44655
4.63000 1.07136 1.44634
4.64000 1.07120 1.44612
4.65000 1.07104 1.44591
4.66000 1.07088 1.44569
4.67000 1.07073 1.44548
4.68000 1.07057 1.44527
4.69000 1.07041 1.44506
4.70000 1.07026 1.44485
4.71000 1.07010 1.44464
4.72000 1.06995 1.44443
4.73000 1.06979 1.44422
4.74000 1.06964 1.44401
4.75000 1.06949 1.44381
4.76000 1.06934 1.44360
4.77000 1.06918 1.44340
4.78000 1.06903 1.44320
4.79000 1.06888 1.44299
4.80000 1.06874 1.44279
4.81000 1.06859 1.44259
4.82000 1.06844 1.44239
4.83000 1.06829 1.44219
4.84000 1.06815 1.44200
4.85000 1.06800 1.44180
4.86000 1.06785 1.44160
4.87000 1.06771 1.44141
4.88000 1.06757 1.44121
4.89000 1.06742 1.44102
4.90000 1.06728 1.44083
4.91000 1.06714 1.44064
4.92000 1.06700 1.44044
4.93000 1.06686 1.44025
4.94000 1.06671 1.44006
4.95000 1.06657 1.43988
4.96000 1.06644 1.43969
4.97000 1.06630 1.43950
4.98000 1.06616 1.43931
4.99000 1.06602 1.43913
5.00000 1.06588 1.43894
5.01000 1.06575 1.43876
5.02000 1.06561 1.43858
5.03000 1.06548 1.43839
5.04000 1.06534 1.43821
5.05000 1.06521 1.43803
5.06000 1.06507 1.43785
5.07000 1.06494 1.43767
5.08000 1.06481 1.43749
5.09000 1.06468 1.43731
5.10000 1.06455 1.43714
5.11000 1.06442 1.43696
5.12000 1.06428 1.43678
5.13000 1.06416 1.43661
5.14000 1.06403 1.43643
5.15000 1.06390 1.43626
5.16000 1.06377 1.43609
5.17000 1.06364 1.43592
5.18000 1.06351 1.43574
5.19000 1.06339 1.43557
5.20000 1.06326 1.43540
5.21000 1.06314 1.43523
5.22000 1.06301 1.43506
5.23000 1.06289 1.43490
5.24000 1.06276 1.43473
5.25000 1.06264 1.43456
5.26000 1.06251 1.43439
5.27000 1.06239 1.43423
5.28000 1.06227 1.43406
5.29000 1.06215 1.43390
5.30000 1.06203 1.43374
5.31000 1.06191 1.43357
5.32000 1.06178 1.43341
5.33000 1.06166 1.43325
5.34000 1.06155 1.43309
5.35000 1.06143 1.43293
5.36000 1.06131 1.43277
5.37000 1.06119 1.43261
5.38000 1.06107 1.43245
5.39000 1.06096 1.43229
5.40000 1.06084 1.43213
5.41000 1.06072 1.43198
5.42000 1.06061 1.43182
5.43000 1.06049 1.43166
5.44000 1.06038 1.43151
5.45000 1.06026 1.43135
5.46000 1.06015 1.43120
5.47000 1.06003 1.43105
5.48000 1.05992 1.43089
5.49000 1.05981 1.43074
5.50000 1.05970 1.43059
5.51000 1.05958 1.43044
5.52000 1.05947 1.43029
5.53000 1.05936 1.43014
5.54000 1.05925 1.42999
5.55000 1.05914 1.42984
5.56000 1.05903 1.42969
5.57000 1.05892 1.42954
5.58000 1.05881 1.42940
5.59000 1.05870 1.42925
5.60000 1.05860 1.42910
5.61000 1.05849 1.42896
